esco_oc_key|preflabel_en|ox_max_prob|ox_avg_prob|ox_label|isco_oc_key_l4|isco_preflabel_l4|isco_oc_key_l3|isco_preflabel_l3|isco_oc_key_l2|isco_preflabel_l2|isco_oc_key_l1|isco_preflabel_l1|oc_key_jv|all_jv|at_jv|be_jv|bg_jv|ch_jv|cy_jv|cz_jv|de_jv|dk_jv|ee_jv|el_jv|es_jv|fi_jv|fr_jv|hr_jv|hu_jv|ie_jv|is_jv|it_jv|li_jv|lt_jv|lu_jv|lv_jv|mt_jv|nl_jv|no_jv|pl_jv|pt_jv|ro_jv|se_jv|si_jv|sk_jv|uk_jv|oc_key_cvdes|all_cvdes|at_cvdes|be_cvdes|bg_cvdes|ch_cvdes|cy_cvdes|cz_cvdes|de_cvdes|dk_cvdes|ee_cvdes|el_cvdes|es_cvdes|fi_cvdes|fr_cvdes|hr_cvdes|hu_cvdes|ie_cvdes|is_cvdes|it_cvdes|li_cvdes|lt_cvdes|lu_cvdes|lv_cvdes|mt_cvdes|nl_cvdes|no_cvdes|pl_cvdes|pt_cvdes|ro_cvdes|se_cvdes|si_cvdes|sk_cvdes|uk_cvdes|oc_key_cvlast|all_cvlast|at_cvlast|be_cvlast|bg_cvlast|ch_cvlast|cy_cvlast|cz_cvlast|de_cvlast|dk_cvlast|ee_cvlast|el_cvlast|es_cvlast|fi_cvlast|fr_cvlast|hr_cvlast|hu_cvlast|ie_cvlast|is_cvlast|it_cvlast|li_cvlast|lt_cvlast|lu_cvlast|lv_cvlast|mt_cvlast|nl_cvlast|no_cvlast|pl_cvlast|pt_cvlast|ro_cvlast|se_cvlast|si_cvlast|sk_cvlast|uk_cvlast
7d27600b-5cff-4ebc-b259-cc2d47572035|head of workshop|0.61|0.61||C3435|Other artistic and cultural associate professionals|C343|Artistic, cultural and culinary associate professionals|C34|Legal, social, cultural and related associate professionals|C3|Technicians and associate professionals|7d27600b-5cff-4ebc-b259-cc2d47572035|5451|194|314|3|21|2|50|1977|7|||4|82|1285||72|5||2|||7|33|3|28|1|655|85|210|369|42|||7d27600b-5cff-4ebc-b259-cc2d47572035|679|7|18|9|5||6|29|3|8|25|158|17|55|27|24|3|1|157||10|2|4|4|5||28|29|14|14|4|1|12|7d27600b-5cff-4ebc-b259-cc2d47572035|267|1|6|2|1||1|10|1||5|63|7|28|7|9|1|1|83||1||3|2|3|2|3|13|3||4||7
7d4266b3-2108-4330-b27b-430a96012c21|sewing machine operator|0.89|0.89|1|C8153|Sewing machine operators|C815|Textile, fur and leather products machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|7d4266b3-2108-4330-b27b-430a96012c21|16134|454|85|518|1|1|290|1185|||||119|2674||604|3||||||113|16|127|23|4951|3123|1682|93|33||39|7d4266b3-2108-4330-b27b-430a96012c21|54|1|1|6|2|||3|1||1|9|1|4|3|1|||7|||||||1|8||2||1||2|7d4266b3-2108-4330-b27b-430a96012c21|43||1|6||||1|||1|4|1|2|2|2|||5||||1||1||6|1|3||4||2
7d599049-d15a-4fda-afe9-b334b0614ec7|aircraft gas turbine engine overhaul technician|0.71|0.36||C7232|Aircraft engine mechanics and repairers|C723|Machinery mechanics and repairers|C72|Metal, machinery and related trades workers|C7|Craft and related trades workers|7d599049-d15a-4fda-afe9-b334b0614ec7|8504|22|205||46|1|42|4977|6||2|1|13|2317|2|9|5||22|||1|3|7|715|29|10|12|10|36|8|2|1|7d599049-d15a-4fda-afe9-b334b0614ec7|78|1|1|||1|1|1||1|3|18|1|5|4|6||1|22||||1||||2|3|4|1|||1|7d599049-d15a-4fda-afe9-b334b0614ec7|52||1|1||2||4||1|2|13|3|3|4|3||1|9||||1|1||||1||1|||1
7d7ea936-a1c6-499d-9aa7-054e943b019b|interpretation agency manager|0.25|0.25||C1349|Professional services managers not elsewhere classified|C134|Professional services managers|C13|Production and specialised services managers|C1|Managers|7d7ea936-a1c6-499d-9aa7-054e943b019b|24099|4|56|6|5||72|889|3||||105|444||35|||||||41|16|3211|4177|126|6|92|1008|102|405|13296|7d7ea936-a1c6-499d-9aa7-054e943b019b|235|2|9|6||2|3|11||1|12|73|4|6|6|2|1||51||2|3|1|2|3|2|5|8|6|3|4|1|6|7d7ea936-a1c6-499d-9aa7-054e943b019b|95||4|4||1|3|4|1|2|2|15|3|3|2|2|2|1|20||1|||1|4|2|1|7|3|1|1||5
7d8b3c73-20f8-467e-91e4-00378673a2cd|food safety inspector|0.94|0.53||C3257|Environmental and occupational health inspectors and associates|C325|Other health associate professionals|C32|Health associate professionals|C3|Technicians and associate professionals|7d8b3c73-20f8-467e-91e4-00378673a2cd|42461|280|8992|3|10||32|3830|7|||15|180|5170||1|11||25|||22|4|6|1152|272|523|63|374|1398|35|10|20046|7d8b3c73-20f8-467e-91e4-00378673a2cd|663|3|17|5|3|3|5|21|5||18|195|2|13|22|11|5|1|159||5|2|||10|11|18|60|24|15|11|2|17|7d8b3c73-20f8-467e-91e4-00378673a2cd|244|2|1|6|1|1|1|5|||4|68||4|6||4||65||||1|1|3|3|4|32|17|2|2|1|10
7d9242d3-2a55-45e3-9d67-be76f879de0b|metalworking lathe operator|0.98|0.87|1|C7223|Metal working machine tool setters and operators|C722|Blacksmiths, toolmakers and related trades workers|C72|Metal, machinery and related trades workers|C7|Craft and related trades workers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7d99ed04-fda7-4f35-9f02-0db18078159c|leather finishing operator||||C8155|Fur and leather preparing machine operators|C815|Textile, fur and leather products machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7d9c060a-f280-441d-baf9-7d4a6b520a2a|import export manager in computers, computer peripheral equipment and software|0.59|0.59|0|C1324|Supply, distribution and related managers|C132|Manufacturing, mining, construction, and distribution managers|C13|Production and specialised services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7d9e2a65-758c-4cbd-b66d-3a595d3d63b1|polygraph examiner|0.012|0.01||C2634|Psychologists|C263|Social and religious professionals|C26|Legal, social and cultural professionals|C2|Professionals|7d9e2a65-758c-4cbd-b66d-3a595d3d63b1|42904|762|4020|528|36|1|457|9133|130|7|318|1|1546|2964|3|65|3||21||29|7|169|2|997|3341|1534|77|374|6127|164|2|10086|7d9e2a65-758c-4cbd-b66d-3a595d3d63b1|832|6|23|11|6|7|2|28|1||34|258|3|21|51|18|6||178||2||2||17|1|30|60|29|5|6||27|7d9e2a65-758c-4cbd-b66d-3a595d3d63b1|557|2|12|6|7|3|1|16|2||28|173|2|11|48|10|3|1|117||2|1|1|1|7|1|20|39|26|2|3||12
7daa8fed-9a78-4fe2-afc2-153fc423040b|animal behaviourist|0.3|0.08|0|C2131|Biologists, botanists, zoologists and related professionals|C213|Life science professionals|C21|Science and engineering professionals|C2|Professionals|7daa8fed-9a78-4fe2-afc2-153fc423040b|18549|375|1356|4|73|1|54|2632|145||||214|197|3|11|2||7|||18|10|1|115|541|116|26|108|1756|241|762|9781|7daa8fed-9a78-4fe2-afc2-153fc423040b|1650|7|24|6|14|16|7|62|12|1|58|514|16|70|47|20|6|2|506||7|1|1|3|25|6|29|94|18|18|16|5|39|7daa8fed-9a78-4fe2-afc2-153fc423040b|985|11|22|3|6|7|2|36|7|3|33|269|12|59|24|12|4||330|||||3|19|7|13|47|14|10|4|5|23
