from_oc_key|to_oc_key|skill_match_pct
00674f21-2f8f-4a41-9896-133f7cbe2a6e|1f137f0b-7097-4583-9d1b-b69e57369319|0.41
00674f21-2f8f-4a41-9896-133f7cbe2a6e|976cbfcc-8958-4800-a435-71d15405a42a|0.41
006cc1f9-2841-41c3-991a-dc3f2f3bd533|49e4e358-8ba3-4a05-8ef9-abb73156f5f7|0.69
006cc1f9-2841-41c3-991a-dc3f2f3bd533|a317e9c2-62d5-4a24-8ad4-5cb7b9db3f3b|0.66
006cc1f9-2841-41c3-991a-dc3f2f3bd533|be235deb-6181-43ca-8127-7010a689643a|0.65
00747307-6341-4266-a061-25416f7c6a96|5efb2c08-ba3a-4659-a2e4-1883f54e77b6|0.44
00747307-6341-4266-a061-25416f7c6a96|78ed3811-f421-45e5-9574-31364c76af67|0.39
00747307-6341-4266-a061-25416f7c6a96|f6ca9392-708d-46cb-a2e9-51519595baa2|0.42
0085f271-5999-4d42-b879-75c3b4269883|1214a616-aaa5-4140-b82e-2cc5028b0fa4|0.23
0085f271-5999-4d42-b879-75c3b4269883|62f53135-e091-4aa6-8895-5851d72271b9|0.28
0085f271-5999-4d42-b879-75c3b4269883|706e8b26-befb-429b-b71d-f72fad1bae12|0.21
0090dd54-057a-4f65-bbe8-f74c4999e8e8|1aadb308-432a-4d01-b54b-b4f7f76dd419|0.43
0090dd54-057a-4f65-bbe8-f74c4999e8e8|26852256-d423-41bb-8178-4d37ff2528b9|0.41
0090dd54-057a-4f65-bbe8-f74c4999e8e8|ff42d44c-34f8-46be-ad3a-2aad9a5e43f0|0.37
00913533-5237-4870-9003-d1cb806603c9|2afdf635-3cdb-4914-ab61-5dd7d7d46792|0.88
00913533-5237-4870-9003-d1cb806603c9|3c1041c1-7a20-41fd-8cb2-529d7f671226|0.88
00913533-5237-4870-9003-d1cb806603c9|acf28133-525f-4838-9248-d852e28b8f98|0.88
009d29de-5872-43be-8d9b-abd27f8c99f1|2bedd02b-aeeb-4ed8-b1ae-29a706638414|1.00
009d29de-5872-43be-8d9b-abd27f8c99f1|3900b684-6b4b-4133-b134-e1d129d60383|1.00
009d29de-5872-43be-8d9b-abd27f8c99f1|4e7a3641-7bd3-4290-9f0c-0e7ca776fb0e|1.00
00ab29a3-6d4a-4df9-b46d-de31069e36e8|5fd69ee2-2042-4280-85e1-8f1462886987|0.33
00ab29a3-6d4a-4df9-b46d-de31069e36e8|668943cc-c454-4a1b-a296-2fcb524a6222|0.29
