index	fx	fy	esco_oc_key	preflabel_en	ox_max_prob	ox_avg_prob	ox_label	isco_oc_key_l4	isco_preflabel_l4	isco_oc_key_l3	isco_preflabel_l3	isco_oc_key_l2	isco_preflabel_l2	isco_oc_key_l1	isco_preflabel_l1	oc_key_jv	all_jv	at_jv	be_jv	bg_jv	ch_jv	cy_jv	cz_jv	de_jv	dk_jv	ee_jv	el_jv	es_jv	fi_jv	fr_jv	hr_jv	hu_jv	ie_jv	is_jv	it_jv	li_jv	lt_jv	lu_jv	lv_jv	mt_jv	nl_jv	no_jv	pl_jv	pt_jv	ro_jv	se_jv	si_jv	sk_jv	uk_jv	oc_key_cvdes	all_cvdes	at_cvdes	be_cvdes	bg_cvdes	ch_cvdes	cy_cvdes	cz_cvdes	de_cvdes	dk_cvdes	ee_cvdes	el_cvdes	es_cvdes	fi_cvdes	fr_cvdes	hr_cvdes	hu_cvdes	ie_cvdes	is_cvdes	it_cvdes	li_cvdes	lt_cvdes	lu_cvdes	lv_cvdes	mt_cvdes	nl_cvdes	no_cvdes	pl_cvdes	pt_cvdes	ro_cvdes	se_cvdes	si_cvdes	sk_cvdes	uk_cvdes	oc_key_cvlast	all_cvlast	at_cvlast	be_cvlast	bg_cvlast	ch_cvlast	cy_cvlast	cz_cvlast	de_cvlast	dk_cvlast	ee_cvlast	el_cvlast	es_cvlast	fi_cvlast	fr_cvlast	hr_cvlast	hu_cvlast	ie_cvlast	is_cvlast	it_cvlast	li_cvlast	lt_cvlast	lu_cvlast	lv_cvlast	mt_cvlast	nl_cvlast	no_cvlast	pl_cvlast	pt_cvlast	ro_cvlast	se_cvlast	si_cvlast	sk_cvlast	uk_cvlast
888	1.25899200368	2.57501623082	4a5ceaae-0f05-4091-bdbf-59f250ce6374	plastic heat treatment equipment operator, plastic heat treatment equipment operator	0.98	0.91		C8142	Plastic products machine operators	C814	Rubber, plastic and paper products machine operators	C81	Stationary plant and machine operators	C8	Plant and machine operators and assemblers	4a5ceaae-0f05-4091-bdbf-59f250ce6374	35906.0	1256.0	32.0	108.0	152.0		1355.0	19543.0	6.0			1.0	384.0	6406.0		423.0	5.0			1.0		42.0	12.0	44.0	8.0	57.0	4349.0	302.0	882.0	388.0	147.0		3.0	4a5ceaae-0f05-4091-bdbf-59f250ce6374	151.0	2.0		3.0			3.0	4.0				18.0	1.0	2.0	14.0	6.0	1.0		19.0						4.0	1.0	35.0	15.0	15.0	1.0	4.0		3.0	4a5ceaae-0f05-4091-bdbf-59f250ce6374	108.0	1.0	1.0	2.0	1.0		1.0	5.0				14.0	2.0	3.0	11.0	5.0		1.0	13.0		2.0		1.0			3.0	16.0	9.0	9.0	2.0	4.0		2.0
889	1.28384837954	2.98192008872	4ac3c3a0-eb56-491f-8d21-1e5539a05b54	horse trainer	0.86	0.46		C5164	Pet groomers and animal care workers	C516	Other personal services workers	C51	Personal service workers	C5	Service and sales workers																																																																																																						
890	1.66528048416	2.44693616546	4ad4024e-d1d3-4dea-b6d1-2c7948111dce	vehicle technician	0.93	0.65		C7231	Motor vehicle mechanics and repairers	C723	Machinery mechanics and repairers	C72	Metal, machinery and related trades workers	C7	Craft and related trades workers	4ad4024e-d1d3-4dea-b6d1-2c7948111dce	296751.0	8761.0	29491.0	153.0	1384.0	6.0	5783.0	104012.0	57.0			35.0	4686.0	76600.0		1319.0	113.0	4.0	9.0	5.0	259.0	169.0	346.0	120.0	17087.0	1927.0	14052.0	2213.0	3151.0	6611.0	1113.0	328.0	16957.0	4ad4024e-d1d3-4dea-b6d1-2c7948111dce	619.0	1.0	7.0	19.0	3.0	5.0	7.0	27.0	1.0	2.0	25.0	140.0	7.0	10.0	51.0	18.0	3.0	3.0	84.0		12.0	1.0	8.0	1.0	3.0	3.0	49.0	26.0	78.0	5.0	10.0	1.0	9.0	4ad4024e-d1d3-4dea-b6d1-2c7948111dce	425.0	2.0	2.0	15.0		2.0	8.0	19.0		1.0	9.0	99.0	4.0	8.0	28.0	14.0	2.0	3.0	60.0		5.0	1.0	4.0	1.0	2.0		50.0	15.0	50.0	5.0	7.0	3.0	6.0
891	1.87280930028	2.351696451	4ae3ad16-2d33-406c-8497-c66f7d61b914	second-hand goods specialised seller	0.98	0.95		C5223	Shop sales assistants	C522	Shop salespersons	C52	Sales workers	C5	Service and sales workers																																																																																																						
892	1.77189915791	2.6430400523	4ae470fc-bcf8-4704-abd5-e086ebb1552c	membership manager	0.61	0.32	1.0	C2431	Advertising and marketing professionals	C243	Sales, marketing and public relations professionals	C24	Business and administration professionals	C2	Professionals	4ae470fc-bcf8-4704-abd5-e086ebb1552c	203055.0	6160.0	491.0	19.0	240.0		946.0	20896.0	159.0	1.0	1.0	42.0	8696.0	13.0		242.0	63.0		10.0	2.0	1.0	8.0	134.0	88.0	5058.0	982.0	4884.0	428.0	530.0	5405.0	259.0	2.0	147295.0	4ae470fc-bcf8-4704-abd5-e086ebb1552c	5242.0	66.0	206.0	84.0	43.0	21.0	65.0	313.0	54.0	19.0	120.0	766.0	112.0	524.0	184.0	141.0	47.0	4.0	1425.0	1.0	41.0	23.0	25.0	7.0	132.0	38.0	114.0	166.0	148.0	91.0	65.0	18.0	179.0	4ae470fc-bcf8-4704-abd5-e086ebb1552c	2562.0	30.0	104.0	48.0	23.0	4.0	24.0	166.0	30.0	8.0	76.0	386.0	40.0	326.0	67.0	62.0	13.0	3.0	615.0		22.0	11.0	9.0	3.0	67.0	13.0	53.0	82.0	99.0	53.0	29.0	10.0	86.0
893	1.97146928276	2.85104916642	4b05bef2-ded4-4b09-ab94-f4c6a555a775	social worker	0.25	0.04	0.0	C2635	Social work and counselling professionals	C263	Social and religious professionals	C26	Legal, social and cultural professionals	C2	Professionals	4b05bef2-ded4-4b09-ab94-f4c6a555a775	191345.0	1247.0	25744.0	510.0	77.0		1432.0	83841.0	380.0	282.0	590.0	13.0	5254.0	36199.0	1.0	233.0	237.0		267.0		36.0	86.0	314.0	19.0	562.0	2763.0	278.0	148.0	424.0	29856.0	506.0	1.0	45.0	4b05bef2-ded4-4b09-ab94-f4c6a555a775	1345.0	17.0	44.0	20.0	9.0	10.0	10.0	64.0	8.0	7.0	59.0	297.0	20.0	60.0	37.0	34.0	7.0	3.0	305.0		13.0	2.0	6.0	4.0	39.0	11.0	35.0	80.0	57.0	16.0	26.0	6.0	39.0	4b05bef2-ded4-4b09-ab94-f4c6a555a775	630.0	3.0	24.0	13.0	4.0	3.0	10.0	25.0	4.0	5.0	20.0	184.0	10.0	34.0	17.0	16.0	2.0	1.0	125.0		13.0	2.0	4.0	4.0	11.0	5.0	9.0	33.0	16.0	4.0	11.0	3.0	15.0
894	1.8660087549	2.38163722487	4b1b1c9c-579c-45c8-8a34-db39f544c031	furniture specialised seller	0.98	0.95		C5223	Shop sales assistants	C522	Shop salespersons	C52	Sales workers	C5	Service and sales workers																																																																																																						
895	1.62676392688	2.60637649979	4b214899-ed00-4156-b269-a23df0fb1093	environmental protection manager	0.25	0.25		C1349	Professional services managers not elsewhere classified	C134	Professional services managers	C13	Production and specialised services managers	C1	Managers	4b214899-ed00-4156-b269-a23df0fb1093	24099.0	4.0	56.0	6.0	5.0		72.0	889.0	3.0				105.0	444.0		35.0							41.0	16.0	3211.0	4177.0	126.0	6.0	92.0	1008.0	102.0	405.0	13296.0	4b214899-ed00-4156-b269-a23df0fb1093	235.0	2.0	9.0	6.0		2.0	3.0	11.0		1.0	12.0	73.0	4.0	6.0	6.0	2.0	1.0		51.0		2.0	3.0	1.0	2.0	3.0	2.0	5.0	8.0	6.0	3.0	4.0	1.0	6.0	4b214899-ed00-4156-b269-a23df0fb1093	95.0		4.0	4.0		1.0	3.0	4.0	1.0	2.0	2.0	15.0	3.0	3.0	2.0	2.0	2.0	1.0	20.0		1.0			1.0	4.0	2.0	1.0	7.0	3.0	1.0	1.0		5.0
896	1.5828622802	2.76508257627	4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f	ICT business analysis manager	0.015	0.01		C2511	Systems analysts	C251	Software and applications developers and analysts	C25	Information and communications technology professionals	C2	Professionals	4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f	82690.0	1815.0	933.0	8.0	304.0	11.0	193.0	35117.0	1684.0		1.0	67.0	1616.0	8.0	3.0	20.0	18.0		3.0	3.0		41.0	39.0	58.0	14082.0	2414.0	720.0	37.0	51.0	23379.0	50.0	6.0	9.0	4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f	1456.0	16.0	63.0	34.0	11.0	6.0	19.0	91.0	10.0	9.0	60.0	169.0	32.0	78.0	87.0	47.0	21.0	1.0	267.0		22.0	6.0	10.0	8.0	37.0	11.0	58.0	72.0	84.0	34.0	21.0	9.0	63.0	4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f	864.0	11.0	31.0	21.0	4.0	5.0	13.0	40.0	3.0	5.0	18.0	119.0	18.0	46.0	48.0	27.0	17.0		167.0		8.0	4.0	8.0	5.0	11.0	10.0	23.0	46.0	64.0	29.0	16.0	6.0	41.0
897	1.57807761524	2.64526940859	4b536ea7-ebac-4f75-8356-94eb639f1ecc	print studio supervisor	0.016	0.02		C3122	Manufacturing supervisors	C312	Mining, manufacturing and construction supervisors	C31	Science and engineering associate professionals	C3	Technicians and associate professionals																																																																																																						
